domain,question,answer
Data Science,"What is the difference between correlation and causation in data analysis?","Correlation shows association, but causation requires experimental or causal inference methods like A/B testing or causal models."
Web Dev,"What is the difference between client-side rendering (CSR) and server-side rendering (SSR)?","CSR loads JS on client and renders in-browser, SSR renders HTML on the server. SSR improves SEO and initial load time, CSR improves interactivity."
Web Dev,"Explain the difference between HTTP and HTTPS.","HTTPS is HTTP with TLS encryption for secure communication, protecting against eavesdropping and man-in-the-middle attacks."
Web Dev,"What are RESTful APIs and how do they differ from GraphQL?","REST APIs expose resources via endpoints, GraphQL allows flexible queries for specific data. REST is simpler, GraphQL reduces overfetching."
Web Dev,"What are cookies, local storage, and session storage?","Cookies store small amounts of data sent with requests, local storage is persistent client storage, session storage is temporary and per session."
Web Dev,"What are some common security vulnerabilities in web applications?","Examples include XSS, SQL injection, CSRF, broken authentication, and insecure direct object references."
Web Dev,"How do you optimize a web application for performance?","Techniques: lazy loading, caching, CDN, minification, code splitting, database indexing, and image compression."
Web Dev,"What is CORS and why is it important?","Cross-Origin Resource Sharing controls how resources are shared between domains, preventing unauthorized cross-origin requests."
Web Dev,"What are microservices in web development?","Microservices are an architectural style where applications are broken into loosely coupled services that communicate via APIs."
Web Dev,"How does responsive web design work?","It uses flexible grids, fluid layouts, and CSS media queries to adapt layouts to different screen sizes."
Web Dev,"What are WebSockets and how do they differ from HTTP?","WebSockets provide full-duplex communication for real-time apps (chat, gaming), while HTTP is request-response based."
Python,"What is the difference between deep copy and shallow copy in Python?","Shallow copy copies references of objects, deep copy creates independent objects recursively."
Python,"How does Python’s memory management work?","Python uses reference counting and garbage collection to manage memory. Cyclic references are handled by the garbage collector."
Python,"What is the difference between iterators and generators in Python?","Iterators implement __iter__() and __next__(), while generators use yield to produce values lazily."
Python,"What are Python’s global, local, and nonlocal scopes?","Local scope is inside functions, global is module-wide, nonlocal is used for enclosing function variables."
Python,"What is the difference between @staticmethod, @classmethod, and instance methods?","Static methods don’t access class/instance, class methods take cls, instance methods take self."
Python,"What are Python metaclasses?","Metaclasses are classes of classes that define behavior of other classes, controlling class creation."
Python,"How does Python handle multithreading given the GIL?","GIL allows only one thread to execute Python bytecode at a time, making threading useful for I/O but not CPU-bound tasks."
Python,"What is the difference between is and == in Python?","is checks object identity (same memory reference), == checks value equality."
Python,"How are exceptions handled in Python?","Exceptions are caught using try-except-finally blocks; custom exceptions can be defined using classes."
Python,"What are Python’s data structures and when would you use them?","Lists (ordered, mutable), tuples (immutable), sets (unique items), dicts (key-value). Choice depends on mutability and uniqueness needs."
SQL,"What is the difference between OLTP and OLAP databases?","OLTP handles transactional workloads (insert, update, delete), OLAP supports analytical queries on large datasets."
SQL,"What are database indexes and their trade-offs?","Indexes speed up queries but slow down inserts/updates and consume extra storage."
SQL,"Explain normalization vs denormalization.","Normalization reduces redundancy, denormalization increases redundancy for query speed."
SQL,"How would you find the second highest salary in an employee table?","Using subqueries: SELECT MAX(salary) FROM employees WHERE salary < (SELECT MAX(salary) FROM employees);"
SQL,"What are window functions in SQL?","They perform calculations across sets of rows related to the current row, e.g., RANK(), ROW_NUMBER(), LEAD(), LAG()."
SQL,"What is the difference between a clustered and non-clustered index?","Clustered index defines physical data order, non-clustered creates separate structures pointing to data."
SQL,"How do you optimize slow SQL queries?","Techniques: indexing, query rewriting, avoiding SELECT *, analyzing execution plans, partitioning tables."
SQL,"What are transactions and ACID properties?","Transactions group operations; ACID ensures Atomicity, Consistency, Isolation, Durability."
SQL,"What are common SQL join types and when to use them?","INNER JOIN (matching rows), LEFT JOIN (all left rows + matches), RIGHT JOIN, FULL JOIN, CROSS JOIN."
SQL,"What is the difference between UNION and JOIN in SQL?","UNION combines result sets vertically, JOIN combines tables horizontally based on keys."
